,Symbol,DTE,Strike,Price,Bid,Breakeven,Contracts,MaxProfit,MaxLoss,PctToStrike,PctToBE,Delta,TVol,ProfitDTE,RR1.0,Description,ProbOTM,ProbBE,ExpProfit,RR2.0
130,AMC,10,25.0,24.875,3.9,21.1,1,390.0,2110.0,0.5,-15.18,-0.481,38.598,39.0,592.02,AMC Aug 19 2022 25 Put,49.35,65.62,221.48,141.866
1033,LMND,10,25.0,28.67,2.1,22.9,1,210.0,2290.0,-12.8,-20.13,-0.451,25.05,21.0,422.73,LMND Aug 19 2022 25 Put,69.43,78.8,152.01,140.27
131,AMC,10,26.0,24.875,4.6,21.4,1,460.0,2140.0,4.52,-13.97,-0.522,39.7,46.0,642.62,AMC Aug 19 2022 26 Put,45.45,63.48,246.91,137.645
129,AMC,10,24.0,24.875,3.2,20.8,1,320.0,2080.0,-3.52,-16.38,-0.437,37.734,32.0,524.16,AMC Aug 19 2022 24 Put,54.07,67.19,191.02,136.889
180,APPS,3,21.5,23.72,1.27,20.23,1,127.0,2023.0,-9.36,-14.71,-0.306,24.206,42.33,622.67,APPS Aug 12 2022 21.5 Put,65.41,73.06,84.32,134.062
128,AMC,10,23.0,24.875,2.58,20.42,1,258.0,2042.0,-7.54,-17.91,-0.388,36.866,25.8,462.08,AMC Aug 19 2022 23 Put,57.88,68.6,159.85,128.826
122,AMC,3,22.0,24.875,1.06,20.94,1,106.0,2094.0,-11.56,-15.82,-0.308,19.87,35.33,558.92,AMC Aug 12 2022 22 Put,72.14,79.02,76.25,126.778
1032,LMND,10,24.0,28.67,1.65,22.35,1,165.0,2235.0,-16.29,-22.04,-0.381,25.415,16.5,363.66,LMND Aug 19 2022 24 Put,74.13,80.55,123.86,125.522
127,AMC,10,22.0,24.875,2.03,19.97,1,203.0,1997.0,-11.56,-19.72,-0.337,35.898,20.3,400.32,AMC Aug 19 2022 22 Put,62.93,71.3,132.93,119.928
1031,LMND,10,23.5,28.67,1.4,22.1,1,140.0,2210.0,-18.03,-22.92,-0.347,25.499,14.0,320.88,LMND Aug 19 2022 23.5 Put,75.84,81.28,105.98,111.551
1030,LMND,10,23.0,28.67,1.25,21.75,1,125.0,2175.0,-19.78,-24.14,-0.314,25.758,12.5,301.75,LMND Aug 19 2022 23 Put,77.83,82.57,96.24,106.29
185,APPS,3,25.0,23.72,2.79,22.21,1,279.0,2221.0,5.4,-6.37,-0.546,22.628,93.0,592.41,APPS Aug 12 2022 25 Put,40.43,61.07,138.24,104.093
881,JMIA,3,8.0,7.305,1.19,6.81,2,238.0,1362.0,9.51,-6.78,-0.664,21.608,79.33,537.86,JMIA Aug 12 2022 8 Put,32.86,62.0,106.59,86.91
880,JMIA,3,7.0,7.305,0.54,6.46,2,108.0,1292.0,-4.18,-11.57,-0.433,20.583,36.0,416.52,JMIA Aug 12 2022 7 Put,58.12,71.32,63.0,85.038
186,APPS,10,21.5,23.72,1.43,20.07,1,143.0,2007.0,-9.36,-15.39,-0.309,30.328,14.3,220.08,APPS Aug 19 2022 21.5 Put,62.25,69.52,90.82,59.421
879,JMIA,3,6.5,7.305,0.3,6.2,2,60.0,1240.0,-11.02,-15.13,-0.301,20.2,20.0,302.6,JMIA Aug 12 2022 6.5 Put,70.31,77.13,36.53,59.108
187,APPS,10,22.0,23.72,1.63,20.37,1,163.0,2037.0,-7.25,-14.12,-0.339,30.031,16.3,230.16,APPS Aug 19 2022 22 Put,59.17,67.73,100.19,56.923
188,APPS,10,22.5,23.72,1.85,20.65,1,185.0,2065.0,-5.14,-12.94,-0.37,29.959,18.5,239.39,APPS Aug 19 2022 22.5 Put,56.72,66.66,110.9,53.33
960,KSS,10,29.0,32.475,1.21,27.79,1,121.0,2779.0,-10.7,-14.43,-0.3,21.043,12.1,174.6,KSS Aug 19 2022 29 Put,69.43,75.4,83.9,49.49
961,KSS,10,29.5,32.475,1.37,28.13,1,137.0,2813.0,-9.16,-13.38,-0.331,20.869,13.7,183.31,KSS Aug 19 2022 29.5 Put,67.22,74.17,93.25,47.96
1105,MARA,3,13.5,14.1,0.7,12.8,1,70.0,1280.0,-4.26,-9.22,-0.335,19.322,23.33,215.1,MARA Aug 12 2022 13.5 Put,58.9,68.45,41.22,46.28
189,APPS,10,23.0,23.72,2.06,20.94,1,206.0,2094.0,-3.04,-11.72,-0.401,29.692,20.6,241.43,APPS Aug 19 2022 23 Put,53.58,65.02,118.95,45.422
1104,MARA,3,13.0,14.1,0.54,12.46,1,54.0,1246.0,-7.8,-11.63,-0.272,19.683,18.0,209.34,MARA Aug 12 2022 13 Put,65.12,72.06,33.51,45.405
962,KSS,10,30.0,32.475,1.56,28.44,1,156.0,2844.0,-7.62,-12.42,-0.364,20.686,15.6,193.75,KSS Aug 19 2022 30 Put,64.09,72.12,102.91,45.267
1106,MARA,3,14.0,14.1,0.92,13.08,1,92.0,1308.0,-0.71,-7.23,-0.403,19.259,30.67,221.74,MARA Aug 12 2022 14 Put,51.22,64.52,50.1,44.069
878,JMIA,3,6.0,7.305,0.14,5.86,3,42.0,1758.0,-17.86,-19.78,-0.179,19.686,14.0,276.92,JMIA Aug 12 2022 6 Put,81.79,84.17,22.24,41.946
963,KSS,10,30.5,32.475,1.76,28.74,1,176.0,2874.0,-6.08,-11.5,-0.397,20.397,17.6,202.4,KSS Aug 19 2022 30.5 Put,61.35,71.0,113.17,41.07
1103,MARA,3,12.5,14.1,0.39,12.11,1,39.0,1211.0,-11.35,-14.11,-0.214,19.802,13.0,183.43,MARA Aug 12 2022 12.5 Put,71.87,76.38,25.14,38.924
884,JMIA,10,6.0,7.305,0.22,5.78,3,66.0,1734.0,-17.86,-20.88,-0.21,27.46,6.6,137.81,JMIA Aug 19 2022 6 Put,74.37,77.91,38.54,36.973
1107,MARA,3,14.5,14.1,1.18,13.32,1,118.0,1332.0,2.84,-5.53,-0.472,19.313,39.33,217.49,MARA Aug 12 2022 14.5 Put,44.14,61.62,59.41,36.334
307,BHC,10,5.0,5.7,0.28,4.72,3,84.0,1416.0,-12.28,-17.19,-0.256,36.451,8.4,144.4,BHC Aug 19 2022 5 Put,63.77,68.46,45.26,34.619
577,FUBO,3,4.0,3.95,0.29,3.71,4,116.0,1484.0,1.27,-6.08,-0.046,234.438,38.67,235.11,FUBO Aug 12 2022 4 Put,50.37,51.6,48.83,34.493
155,ANF,3,19.0,21.36,0.3,18.7,1,30.0,1870.0,-11.05,-12.45,-0.388,7.061,10.0,124.5,ANF Aug 12 2022 19 Put,94.1,96.16,23.75,33.799
1113,MARA,10,12.5,14.1,0.74,11.76,1,74.0,1176.0,-11.35,-16.6,-0.263,31.505,7.4,122.84,MARA Aug 19 2022 12.5 Put,63.92,69.81,46.05,33.615
1112,MARA,10,12.0,14.1,0.59,11.41,1,59.0,1141.0,-14.89,-19.08,-0.22,31.869,5.9,112.57,MARA Aug 19 2022 12 Put,68.0,72.65,37.88,32.925
336,BKKT,3,3.0,3.275,0.14,2.86,5,70.0,1430.0,-8.4,-12.67,-0.021,315.426,23.33,295.59,BKKT Aug 12 2022 3 Put,50.62,51.21,22.85,32.918
1114,MARA,10,13.0,14.1,0.93,12.07,1,93.0,1207.0,-7.8,-14.4,-0.309,31.277,9.3,133.92,MARA Aug 19 2022 13 Put,59.8,67.88,55.98,32.904
957,KSS,3,30.5,32.475,0.48,30.02,1,48.0,3002.0,-6.08,-7.56,-0.325,7.145,16.0,120.96,KSS Aug 12 2022 30.5 Put,80.32,85.47,35.54,32.848
885,JMIA,10,6.5,7.305,0.38,6.12,2,76.0,1224.0,-11.02,-16.22,-0.314,27.108,7.6,123.27,JMIA Aug 19 2022 6.5 Put,65.9,72.56,45.36,32.061
886,JMIA,10,7.0,7.305,0.61,6.39,2,122.0,1278.0,-4.18,-12.53,-0.428,27.225,12.2,152.87,JMIA Aug 19 2022 7 Put,55.74,67.69,68.68,30.816
483,CGC,3,3.5,3.33,0.34,3.16,4,136.0,1264.0,5.11,-5.11,-0.086,175.128,45.33,231.64,CGC Aug 12 2022 3.5 Put,48.73,50.95,57.58,30.666
1102,MARA,3,12.0,14.1,0.27,11.73,1,27.0,1173.0,-14.89,-16.81,-0.161,19.895,9.0,151.29,MARA Aug 12 2022 12 Put,77.53,80.42,17.32,29.849
308,BHC,10,5.5,5.7,0.48,5.02,3,144.0,1506.0,-3.51,-11.93,-0.358,35.275,14.4,171.79,BHC Aug 19 2022 5.5 Put,53.42,62.8,74.39,29.727
299,BHC,3,6.0,5.7,0.55,5.45,3,165.0,1635.0,5.26,-4.39,0.0,668.918,55.0,241.45,BHC Aug 12 2022 6 Put,49.7,50.29,74.98,28.546
306,BHC,10,4.5,5.7,0.17,4.33,3,51.0,1299.0,-21.05,-24.04,-0.168,37.287,5.1,122.6,BHC Aug 19 2022 4.5 Put,71.23,73.77,25.91,28.508
159,ANF,10,19.0,21.36,0.65,18.35,1,65.0,1835.0,-11.05,-14.09,-0.412,12.764,6.5,91.58,ANF Aug 19 2022 19 Put,80.59,86.6,50.07,28.341
956,KSS,3,30.0,32.475,0.35,29.65,1,35.0,2965.0,-7.62,-8.7,-0.253,7.29,11.67,101.53,KSS Aug 12 2022 30 Put,85.23,88.4,25.97,27.651
1115,MARA,10,13.5,14.1,1.12,12.38,1,112.0,1238.0,-4.26,-12.2,-0.357,30.838,11.2,136.64,MARA Aug 19 2022 13.5 Put,55.41,65.47,64.54,27.236
339,BKKT,10,3.0,3.275,0.21,2.79,5,105.0,1395.0,-8.4,-14.81,-0.009,452.294,10.5,155.5,BKKT Aug 19 2022 3 Put,50.8,51.45,40.8,25.127
976,LAZR,10,7.0,7.975,0.3,6.7,2,60.0,1340.0,-12.23,-15.99,-0.258,25.308,6.0,95.94,LAZR Aug 19 2022 7 Put,68.3,73.48,35.21,24.384
891,JNPR,3,28.0,30.885,0.25,27.75,1,25.0,2775.0,-9.34,-10.15,-0.437,3.108,8.33,84.55,JNPR Aug 12 2022 28 Put,99.87,99.94,19.98,24.353
977,LAZR,10,7.5,7.975,0.49,7.01,2,98.0,1402.0,-5.96,-12.1,-0.363,24.859,9.8,118.58,LAZR Aug 19 2022 7.5 Put,59.6,68.7,56.01,23.175
190,APPS,10,24.0,23.72,2.52,21.48,1,252.0,2148.0,1.18,-9.44,-0.466,28.744,25.2,237.89,APPS Aug 19 2022 24 Put,48.58,63.13,137.85,22.816
955,KSS,3,29.5,32.475,0.25,29.25,1,25.0,2925.0,-9.16,-9.93,-0.194,7.527,8.33,82.72,KSS Aug 12 2022 29.5 Put,88.85,90.63,17.91,21.437
883,JMIA,10,5.5,7.305,0.12,5.38,3,36.0,1614.0,-24.71,-26.35,-0.131,28.667,3.6,94.86,JMIA Aug 19 2022 5.5 Put,80.54,82.02,16.97,20.229
1108,MARA,3,15.0,14.1,1.47,13.53,1,147.0,1353.0,6.38,-4.04,-0.538,19.433,49.0,197.96,MARA Aug 12 2022 15 Put,37.2,58.15,67.27,20.022
316,BILI,3,23.5,24.725,0.39,23.11,1,39.0,2311.0,-4.95,-6.53,-0.282,8.84,13.0,84.89,BILI Aug 12 2022 23.5 Put,71.04,76.57,24.97,19.422
584,FUBO,10,4.0,3.95,0.45,3.55,4,180.0,1420.0,1.27,-10.13,-0.018,378.156,18.0,182.34,FUBO Aug 19 2022 4 Put,50.35,51.56,81.43,19.222
975,LAZR,10,6.5,7.975,0.18,6.32,2,36.0,1264.0,-18.5,-20.75,-0.169,25.885,3.6,74.7,LAZR Aug 19 2022 6.5 Put,76.71,79.2,20.15,19.205
462,CCJ,3,25.5,26.605,0.42,25.08,1,42.0,2508.0,-4.15,-5.73,-0.387,5.757,14.0,80.22,CCJ Aug 12 2022 25.5 Put,76.38,83.85,29.51,19.096
463,CCJ,3,26.0,26.605,0.64,25.36,1,64.0,2536.0,-2.27,-4.68,-0.515,5.671,21.33,99.82,CCJ Aug 12 2022 26 Put,64.92,79.49,42.47,18.886
1116,MARA,10,14.0,14.1,1.35,12.65,1,135.0,1265.0,-0.71,-10.28,-0.407,30.708,13.5,138.78,MARA Aug 19 2022 14 Put,50.95,63.43,74.18,18.601
317,BILI,3,24.0,24.725,0.54,23.46,1,54.0,2346.0,-2.93,-5.12,-0.361,8.605,18.0,92.16,BILI Aug 12 2022 24 Put,63.28,72.13,33.04,17.661
305,BHC,10,4.0,5.7,0.09,3.91,4,36.0,1564.0,-29.82,-31.4,-0.101,39.002,3.6,113.04,BHC Aug 19 2022 4 Put,77.82,79.03,12.43,16.996
158,ANF,10,18.0,21.36,0.3,17.7,1,30.0,1770.0,-15.73,-17.13,-0.246,13.036,3.0,51.39,ANF Aug 19 2022 18 Put,88.25,90.02,22.23,16.926
315,BILI,3,23.0,24.725,0.26,22.74,1,26.0,2274.0,-6.98,-8.03,-0.21,8.931,8.67,69.62,BILI Aug 12 2022 23 Put,78.32,81.6,16.72,16.462
983,LCID,3,18.0,18.765,0.37,17.63,1,37.0,1763.0,-4.08,-6.05,-0.324,8.676,12.33,74.6,LCID Aug 12 2022 18 Put,68.25,75.85,22.91,16.07
954,KSS,3,29.0,32.475,0.18,28.82,1,18.0,2882.0,-10.7,-11.25,-0.143,7.64,6.0,67.5,KSS Aug 12 2022 29 Put,92.32,93.3,12.03,15.901
461,CCJ,3,25.0,26.605,0.26,24.74,1,26.0,2474.0,-6.03,-7.01,-0.273,5.913,8.67,60.78,CCJ Aug 12 2022 25 Put,84.69,88.22,18.08,15.345
464,CCJ,3,26.5,26.605,0.93,25.57,1,93.0,2557.0,-0.39,-3.89,-0.643,5.613,31.0,120.59,CCJ Aug 12 2022 26.5 Put,52.67,75.6,56.17,14.593
974,LAZR,10,6.0,7.975,0.1,5.9,3,30.0,1770.0,-24.76,-26.02,-0.103,26.932,3.0,78.06,LAZR Aug 19 2022 6 Put,82.12,83.23,12.33,14.542
314,BILI,3,22.5,24.725,0.19,22.31,1,19.0,2231.0,-9.0,-9.77,-0.157,9.29,6.33,61.84,BILI Aug 12 2022 22.5 Put,82.84,84.87,11.69,13.802
161,APA,3,30.5,32.21,0.28,30.22,1,28.0,3022.0,-5.31,-6.18,-0.219,7.101,9.33,57.66,APA Aug 12 2022 30.5 Put,77.56,81.15,18.18,13.139
982,LCID,3,17.5,18.765,0.22,17.28,1,22.0,1728.0,-6.74,-7.91,-0.225,8.866,7.33,57.98,LCID Aug 12 2022 17.5 Put,77.71,81.42,13.44,13.03
491,CGC,10,3.0,3.33,0.14,2.86,5,70.0,1430.0,-9.91,-14.11,-0.014,404.25,7.0,98.77,CGC Aug 19 2022 3 Put,50.82,51.23,22.9,12.994
984,LCID,3,18.5,18.765,0.55,17.95,1,55.0,1795.0,-1.41,-4.34,-0.439,8.766,18.33,79.55,LCID Aug 12 2022 18.5 Put,56.53,69.18,31.15,11.503
318,BILI,3,24.5,24.725,0.74,23.76,1,74.0,2376.0,-0.91,-3.9,-0.45,8.506,24.67,96.21,BILI Aug 12 2022 24.5 Put,54.58,68.13,42.15,11.059
482,CGC,3,3.0,3.33,0.08,2.92,5,40.0,1460.0,-9.91,-12.31,-0.027,292.429,13.33,164.09,CGC Aug 12 2022 3 Put,51.72,52.01,7.75,10.941
899,JWN,3,23.0,23.975,0.3,22.7,1,30.0,2270.0,-4.07,-5.32,-0.294,6.724,10.0,53.2,JWN Aug 12 2022 23 Put,72.81,78.85,18.82,10.781
324,BILI,10,22.5,24.725,0.5,22.0,1,50.0,2200.0,-9.0,-11.02,-0.236,15.747,5.0,55.1,BILI Aug 19 2022 22.5 Put,72.1,76.25,33.31,10.668
160,APA,3,30.0,32.21,0.19,29.81,1,19.0,2981.0,-6.86,-7.45,-0.161,7.155,6.33,47.16,APA Aug 12 2022 30 Put,83.0,84.9,11.72,10.661
765,HOOD,3,10.0,10.66,0.12,9.88,2,24.0,1976.0,-6.19,-7.32,-0.221,8.485,8.0,58.56,HOOD Aug 12 2022 10 Put,76.87,80.45,10.83,9.66
499,CHPT,3,15.0,15.85,0.21,14.79,1,21.0,1479.0,-5.36,-6.69,-0.243,9.832,7.0,46.83,CHPT Aug 12 2022 15 Put,70.95,75.43,11.6,9.303
395,BTBT,10,1.5,1.61,0.09,1.41,10,90.0,1410.0,-6.83,-12.42,-0.244,98.132,9.0,111.78,BTBT Aug 19 2022 1.5 Put,52.55,54.88,20.91,9.198
500,CHPT,3,15.5,15.85,0.37,15.13,1,37.0,1513.0,-2.21,-4.54,-0.353,9.79,12.33,55.98,CHPT Aug 12 2022 15.5 Put,58.63,67.93,20.04,8.303
154,ANF,3,18.0,21.36,0.1,17.9,1,10.0,1790.0,-15.73,-16.2,-0.173,7.758,3.33,53.95,ANF Aug 12 2022 18 Put,97.85,98.16,4.89,8.246
796,HYLN,3,4.5,4.585,0.15,4.35,3,45.0,1305.0,-1.85,-5.13,-0.036,249.004,15.0,76.95,HYLN Aug 12 2022 4.5 Put,50.47,51.04,15.19,8.149
465,CCJ,3,27.0,26.605,1.29,25.71,1,129.0,2571.0,1.48,-3.36,-0.754,5.615,43.0,144.48,CCJ Aug 12 2022 27 Put,39.75,72.5,69.17,7.839
978,LAZR,10,8.0,7.975,0.73,7.27,2,146.0,1454.0,0.31,-8.84,-0.477,24.365,14.6,129.06,LAZR Aug 19 2022 8 Put,49.98,64.5,77.21,7.709
325,BILI,10,23.0,24.725,0.63,22.37,1,63.0,2237.0,-6.98,-9.52,-0.284,15.421,6.3,59.98,BILI Aug 19 2022 23 Put,67.92,73.44,40.9,7.115
724,HAL,3,27.5,28.29,0.36,27.14,1,36.0,2714.0,-2.79,-4.07,-0.358,5.278,12.0,48.84,HAL Aug 12 2022 27.5 Put,69.7,77.67,22.68,6.918
900,JWN,3,23.5,23.975,0.45,23.05,1,45.0,2305.0,-1.98,-3.86,-0.408,6.641,15.0,57.9,JWN Aug 12 2022 23.5 Put,61.12,71.63,26.35,6.642
1117,MARA,10,14.5,14.1,1.62,12.88,1,162.0,1288.0,2.84,-8.65,-0.457,30.58,16.2,140.13,MARA Aug 19 2022 14.5 Put,45.68,60.93,83.22,6.501
877,JMIA,3,5.5,7.305,0.06,5.44,3,18.0,1632.0,-24.71,-25.53,-0.089,19.657,6.0,153.18,JMIA Aug 12 2022 5.5 Put,89.91,90.64,2.65,5.674
992,LCID,10,17.5,18.765,0.52,16.98,1,52.0,1698.0,-6.74,-9.51,-0.301,15.662,5.2,49.45,LCID Aug 19 2022 17.5 Put,66.68,72.92,32.67,5.649
304,BHC,10,3.5,5.7,0.06,3.44,4,24.0,1376.0,-38.6,-39.65,-0.064,43.529,2.4,95.16,BHC Aug 19 2022 3.5 Put,80.84,81.54,3.18,5.09
278,BB,3,7.0,6.95,0.3,6.7,2,60.0,1340.0,0.72,-3.6,-0.532,9.307,20.0,72.0,BB Aug 12 2022 7 Put,46.6,64.74,26.96,4.915
882,JMIA,10,5.0,7.305,0.06,4.94,3,18.0,1482.0,-31.55,-32.38,-0.074,29.754,1.8,58.28,JMIA Aug 19 2022 5 Put,85.78,86.42,2.53,3.537
774,HOOD,10,10.0,10.66,0.29,9.71,2,58.0,1942.0,-6.19,-8.91,-0.298,15.579,5.8,51.68,HOOD Aug 19 2022 10 Put,65.68,72.0,32.77,3.53
807,INO,10,2.0,2.34,0.06,1.94,8,48.0,1552.0,-14.53,-17.09,-0.003,547.959,4.8,82.03,INO Aug 19 2022 2 Put,51.8,51.97,4.11,3.12
756,HL,3,4.5,4.745,0.07,4.43,3,21.0,1329.0,-5.16,-6.64,-0.044,226.517,7.0,46.48,HL Aug 12 2022 4.5 Put,50.84,51.14,3.04,2.415
907,JWN,10,22.5,23.975,0.55,21.95,1,55.0,2195.0,-6.15,-8.45,-0.295,13.344,5.5,46.47,JWN Aug 19 2022 22.5 Put,68.0,74.02,35.35,1.935
985,LCID,3,19.0,18.765,0.82,18.18,1,82.0,1818.0,1.25,-3.12,-0.555,8.817,27.33,85.27,LCID Aug 12 2022 19 Put,44.63,64.49,41.62,1.632
725,HAL,3,28.0,28.29,0.58,27.42,1,58.0,2742.0,-1.03,-3.08,-0.486,5.266,19.33,59.54,HAL Aug 12 2022 28 Put,57.8,72.29,34.19,0.9
326,BILI,10,23.5,24.725,0.78,22.72,1,78.0,2272.0,-4.95,-8.11,-0.337,15.227,7.8,63.26,BILI Aug 19 2022 23.5 Put,62.78,70.28,48.38,0.661
